Date,Hour,NO2-ug-per-m3
2019-02-10,05,7
2019-02-10,06,8
2019-02-10,07,8
2019-02-10,08,11
2019-02-10,09,13
2019-02-10,10,23
2019-02-10,11,32
2019-02-10,12,41
2019-02-10,13,66
2019-02-10,14,72
2019-02-10,15,81
2019-02-10,16,87
2019-02-10,17,91
2019-02-10,18,92
2019-02-10,19,80
2019-02-10,20,64
2019-02-10,21,42
2019-02-10,22,34
2019-02-10,23,37
2019-02-10,24,23
2019-02-11,01,19
2019-02-11,02,15
2019-02-11,03,16
2019-02-11,04,14
2019-02-11,05,26
2019-02-11,06,51
2019-02-11,07,69
2019-02-11,08,80
2019-02-11,09,71
2019-02-11,10,71
2019-02-11,11,89
2019-02-11,12,74
2019-02-11,13,71
2019-02-11,14,83
2019-02-11,15,77
2019-02-11,16,90
2019-02-11,17,86
2019-02-11,18,86
2019-02-11,19,74
2019-02-11,20,55
2019-02-11,21,42
2019-02-11,22,30
2019-02-11,23,27
2019-02-11,24,19
2019-02-12,01,12
2019-02-12,02,14
2019-02-12,03,11
2019-02-12,04,16
2019-02-12,05,32
2019-02-12,06,76
2019-02-12,0-1-07
2019-02-12,3-1-08
2019-02-12,2-1-09
2019-02-12,10,86
2019-02-12,0-1-11
2019-02-12,12,91
2019-02-12,13,81
2019-02-12,14,86
2019-02-12,15,76
2019-02-12,16,69
2019-02-12,17,72
2019-02-12,18,66
2019-02-12,19,52
2019-02-12,20,36
2019-02-12,21,26
2019-02-12,22,25
2019-02-12,23,20
2019-02-12,24,15
2019-02-13,01,15
2019-02-13,02,15
2019-02-13,03,17
2019-02-13,04,19
2019-02-13,05,22
2019-02-13,06,34
2019-02-13,07,45
2019-02-13,08,55
2019-02-13,09,51
2019-02-13,10,41
2019-02-13,11,43
2019-02-13,12,41
2019-02-13,13,42
2019-02-13,14,38
2019-02-13,15,45
2019-02-13,16,45
2019-02-13,17,50
2019-02-13,18,49
2019-02-13,19,44
2019-02-13,20,31
2019-02-13,21,26
