Row,Number of vessels,Date,Hour
693,5,2019-01-29,21
694,6,2019-01-29,22
695,6,2019-01-29,23
696,9,2019-01-30,0
697,10,2019-01-30,1
698,9,2019-01-30,2
699,6,2019-01-30,3
700,4,2019-01-30,4
701,4,2019-01-30,5
702,6,2019-01-30,6
703,8,2019-01-30,7
704,6,2019-01-30,8
705,5,2019-01-30,9
706,2,2019-01-30,10
707,5,2019-01-30,11
708,3,2019-01-30,12
709,6,2019-01-30,13
710,6,2019-01-30,14
711,3,2019-01-30,15
712,5,2019-01-30,16
713,7,2019-01-30,17
714,8,2019-01-30,18
715,6,2019-01-30,19
716,4,2019-01-30,20
717,8,2019-01-30,21
718,5,2019-01-30,22
719,3,2019-01-30,23
720,4,2019-01-31,0
721,6,2019-01-31,1
722,8,2019-01-31,2
723,6,2019-01-31,3
724,4,2019-01-31,4
725,3,2019-01-31,5
726,9,2019-01-31,6
727,11,2019-01-31,7
728,11,2019-01-31,8
729,10,2019-01-31,9
730,12,2019-01-31,10
731,11,2019-01-31,11
732,11,2019-01-31,12
733,8,2019-01-31,13
734,4,2019-01-31,14
735,3,2019-01-31,15
736,0,2019-01-31,16
737,3,2019-01-31,17
738,4,2019-01-31,18
739,5,2019-01-31,19
740,3,2019-01-31,20
741,3,2019-01-31,21
742,3,2019-01-31,22
743,4,2019-01-31,23
744,6,2019-02-01,0
745,5,2019-02-01,1
746,3,2019-02-01,2
747,6,2019-02-01,3
748,7,2019-02-01,4
749,7,2019-02-01,5
750,4,2019-02-01,6
751,3,2019-02-01,7
752,3,2019-02-01,8
753,4,2019-02-01,9
754,3,2019-02-01,10
755,2,2019-02-01,11
756,2,2019-02-01,12
757,3,2019-02-01,13
758,3,2019-02-01,14
759,8,2019-02-01,15
760,7,2019-02-01,16
761,4,2019-02-01,17
762,2,2019-02-01,18
763,3,2019-02-01,19
764,7,2019-02-01,20
765,6,2019-02-01,21
766,8,2019-02-01,22
767,8,2019-02-01,23
768,7,2019-02-02,0
769,5,2019-02-02,1
770,6,2019-02-02,2
771,7,2019-02-02,3
772,9,2019-02-02,4
773,8,2019-02-02,5
774,12,2019-02-02,6
775,8,2019-02-02,7
776,5,2019-02-02,8
777,4,2019-02-02,9
778,4,2019-02-02,10
779,6,2019-02-02,11
780,8,2019-02-02,12
781,6,2019-02-02,13
782,9,2019-02-02,14
783,9,2019-02-02,15
784,13,2019-02-02,16
785,10,2019-02-02,17
786,6,2019-02-02,18
787,9,2019-02-02,19
788,9,2019-02-02,20
789,7,2019-02-02,21
790,6,2019-02-02,22
791,6,2019-02-02,23
792,6,2019-02-03,0
793,9,2019-02-03,1
794,9,2019-02-03,2
795,6,2019-02-03,3
